layer_name,layer_description
land_use_land_cover_raster,"Land Use Land Cover (LULC) map for India. Novelty of this approach is intra-annual classes for agriculture and water availability aligned to the agriculture seasons of India.

The Pan India map is available from 2017 onwards at 10m resolution. These are the classes in the current version of LULC:
1. builtup
2. water in kharif only
3. water in kharif and rabi only
4. water in kharif, rabi and zaid (perennial water)
5. cropland
6. trees and forest
7. barren land
8. single kharif cropping
9. single non-kharif cropping
10. double cropping
11. tripple cropping
12. shrubs and scrubs

Input to the model is Dynamic World output, and timeseries data from Landsat-7, Landsat-8, Sentinel-2, Sentinel-1 and MODIS processed using the IndiaSAT methodology. Details of methodology can be found in our technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/lulc)."
terrain_raster,"Terrain classification map at 30m resolution for India. The map is based on Topographic Position Index (TPI) and slope. The algorithm is based on a landform classification method by The Nature Conservency (https://www.jennessent.com/downloads/TPI-poster-TNC_18x22.pdf), with fine tuning of the thresholds done for Indian landscapes.

The following classes are available in the current version of the map:
1. V-shape river valleys, Deep narrow canyons
2. Lateral midslope incised drainages, Local valleys in plains
3. Upland incised drainages, Stream headwaters
4. U-shape valleys
5. Broad flat areas
6. Broad open slopes
7. Mesa tops
8. Upper Slopes
9. Local ridge/hilltops within broad valleys
10. Lateral midslope drainage divides, Local ridges in plains
11. Mountain tops, high ridges

Input to the model is digital elevation data (SRTM Digital Elevation 30m). Details of methodology can be found in our technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/terrain_descriptor)"
change_tree_cover_gain_raster,"Change detection map for India. The various change detection maps are Change in Land use layers are computing by using IndiaSAT Land Use Land Cover outputs and computing the change in pixel classes across the years. Currently the layer is computed for the period of 2017-2022 and two composite images are generated using the mode of the first three years (2017-2019) and the last three years (2020-2022) and a transition matrix is prepared for the classes for these outputs. 

Tree cover gain layer includes the transition of built-up,barren, shrubs and farms class to trees class from the previous output to the current output. Following are the classes in this layer: 
1. Trees - Trees
2. Built Up - Trees
3. Farm - Trees
4. Barren - Trees
5. Scrub Land - Trees

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/change_detection)."
change_tree_cover_loss_raster,"Tree cover change detection map for India. The various change detection maps are Change in Land use layers are computing by using IndiaSAT Land Use Land Cover outputs and computing the change in pixel classes across the years. Currently the layer is computed for the period of 2017-2022 and two composite images are generated using the mode of the first three years (2017-2019) and the last three years (2020-2022) and a transition matrix is prepared for the classes for these outputs. 

Deforestation (tree cover loss) layer includes trees to built-up, barren, shrubs and Crops from the previous output to the current output. Following are the classes in this layer: 
1. Trees - Trees
2. Trees - Built Up
3. Trees - Crops
4. Trees - Barren
5. Trees - Shrubs and Scrubs

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/change_detection)."
change_urbanization_raster,"Built-up change detection map for India. The various change detection maps are Change in Land use layers are computing by using IndiaSAT Land Use Land Cover outputs and computing the change in pixel classes across the years. Currently the layer is computed for the period of 2017-2022 and two composite images are generated using the mode of the first three years (2017-2019) and the last three years (2020-2022) and a transition matrix is prepared for the classes for these outputs. 

Urbanization layer includes the transition of built-up, green, water, and barren areas to built-up. Following are the classes in this layer: 
1. Built Up - Built Up
2. Water - Built Up
3. Trees/Crops - Built Up
4. Barren/Shrubs and Scrubs - Built Up

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/change_detection)."
change_cropping_reduction_raster,"Cropland change detection map for India. The various change detection maps are Change in Land use layers are computing by using IndiaSAT Land Use Land Cover outputs and computing the change in pixel classes across the years. Currently the layer is computed for the period of 2017-2022 and two composite images are generated using the mode of the first three years (2017-2019) and the last three years (2020-2022) and a transition matrix is prepared for the classes for these outputs. 

Degradation layer includes the transition of crops area into built-up, barren and shrubs. Following are the classes in this layer: 
1. Crops - Crops
2. Crops - Built Up
3. Crops - Barren
4. Crops - Shrubs and Scrubs

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/change_detection)."
change_cropping_intensity_raster,"Cropping intensity change detection map for India. The various change detection maps are Change in Land use layers are computing by using IndiaSAT Land Use Land Cover outputs and computing the change in pixel classes across the years. Currently the layer is computed for the period of 2017-2022 and two composite images are generated using the mode of the first three years (2017-2019) and the last three years (2020-2022) and a transition matrix is prepared for the classes for these outputs. 

Cropping intensity change layer includes transitions from single to double cropping, single to triple cropping, double to single cropping, double to triple cropping, triple to double cropping and triple to single cropping. Following are the classes in this layer: 
1. Double - Single
2. Triple - Single
3. Triple - Double
4. Single - Double
5. Single - Triple
6. Double - Triple
7. No change

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/change_detection)."
tree_canopy_cover_density_raster,"Tree canopy cover density map for India. Tree canopy cover density (CCD) indicates the density of tree cover in a given area, with higher canopy cover percentages signifying a denser canopy and more shade on the ground and vice versa. 

The Pan India map (except ACZ 12-15 currently missing due to insufficient data points for training the respective models)  is available from 2017 onwards at 25m resolution. These are the classes in the current version of the map: 
1. Low density 
2. High density
3. Missing data 

Input to the model is Dynamic World output, and timeseries data from Sentinel-2, Sentinel-1 and GEDI as ground truth. Details of methodology can be found  in the technical manual and the codebase at [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/tree_health)"
tree_canopy_height_raster,"Tree canopy height map for India. Tree canopy height layer describes how tall are trees in a given pixel. 

The Pan India map (except ACZ 12-15)  is available from 2017 onwards at 25m resolution. These are the classes in the current version of the map: 
1. Short 
2. Medium
3. Tall

Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/tree/main/computing/tree_health)."
drainage_lines_vector,Drainage lines map for India. Drainage lines in hydrology refer to the visible channels through which water flows from higher elevations to lower elevations on the surface of earth such as streams and rivers. The Pan India map of drainage lines has been generated using SRTM DEM V4 data on QGIS (r.stream.extract). The drainage lines are labeled by their Strahler order. Details of methodology can be found in the technical manual. Details of methodology can be found in the technical manual and the codebase on [github](https://github.com/core-stack-org/core-stack-backend/blob/main/computing/misc/drainage_lines.py).
