display_name,layer_type,layer_name,spatial_resolution_in_meters,ee_layer_name,db_dataset_name,geoserver_workspace_name,start_year,end_year,geoserver_layer_name,style_file_url,theme
the name which will be displayed on the dashboard,raster or vector layer,layer name which will be the common link across the various components,,name of the layer in earthengine,dataset name of the layer in the database,workspace name of the layer in geoserver,start year of the data layer,end year of the data layer,name of the layer in geoserver,github link of the associated style file,
Admin Boundaries,vector,admin_boundaries_vector,,admin_boundary,Admin Boundary,panchayat_boundaries,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Demographic/Administrative-Boundary-Style.qml,"administrative, demographic"
Aquifer,vector,aquifer_vector,,aquifer_vector,Aquifer,aquifer,,,aquifer_vector_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Aquifer_style.qml,"hydrology, aquifer"
Drainage Lines,vector,drainage_lines_vector,,drainage_lines,Drainage,drainage,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Drainage-Layer-Style.qml,"hydrology, drainage"
Surface Water Bodies,vector,surface_water_bodies_vector,,swb2,Surface Water Bodies,swb,,,surface_waterbodies_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Surface-Waterbody-style.qml,"hydrology, surface water bodies"
Surface Water Bodies,vector,surface_water_bodies_vector,,swb3,Surface Water Bodies,swb,,,surface_waterbodies_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Surface-Waterbody-style.qml,"hydrology, surface water bodies"
Land Use Change : Tree cover gain,raster,change_tree_cover_gain_raster,10,change_Afforestation,Change Detection Raster,change_detection,,,change_{district}_{block}_Afforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/change_tree_cover_gain.qml,"land use, change, tree cover gain"
Land Use Change : Tree cover loss,raster,change_tree_cover_loss_raster,10,change_Deforestation,Change Detection Raster,change_detection,,,change_{district}_{block}_Deforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/change_tree_cover_loss.qml,"land use, change, tree cover loss"
Land Use change : Cropping reduction,raster,change_cropping_reduction_raster,10,change_Degradation,Change Detection Raster,change_detection,,,change_{district}_{block}_Degradation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/change_cropping_reduction.qml,"land use, change, cropping area reduction"
Land use change : Urbanization,raster,change_urbanization_raster,10,change_Urbanization,Change Detection Raster,change_detection,,,change_{district}_{block}_Urbanization,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/change_urbanization.qml,"land use, change, urbanization"
Land Use Change : Cropping intensity,raster,change_cropping_intensity_raster,10,change_CropIntensity,Change Detection Raster,change_detection,,,change_{district}_{block}_CropIntensity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/change_cropping_intensity.qml,"land use, change, cropping intensity"
NREGA Works,vector,nrega_vector,,nrega_assets,NREGA Assets,nrega_assets,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/NREGA/NREG-Assets-Classified-Style.qml,"nrega, assets"
Land Use Land Cover,raster,land_use_land_cover_raster,10,lulc_raster,LULC_level_3,LULC_level_3,,,LULC_{start_year}_{end_year}_{district}_{block}_level_3,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/LULC0_12class.qml,land use land cover
Land Use Change : Tree cover gain,vector,change_tree_cover_gain_vector,,change_vector_Afforestation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Afforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/change_tree_cover_gain_vector.qml,"land use, change, tree cover gain"
Land Use Change : Cropping intensity,vector,change_cropping_intensity_vector,,change_vector_CropIntensity,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_CropIntensity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/change_cropping_intensity_vector.qml,"land use, change, cropping intensity"
Land Use Change: Loss of tree cover,vector,change_tree_cover_loss_vector,,change_vector_Deforestation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Deforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/change_tree_cover_loss_vector.qml,"land use, change, tree cover loss"
Land Use Change: Cropping reduction,vector,change_cropping_reduction_vector,,change_vector_Degradation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Degradation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/change_cropping_reduction_vector.qml,"land use, change, cropping area reduction"
Land Use Change: Urbanization,vector,change_urbanization_vector,,change_vector_Urbanization,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Urbanization,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/change_urbanization_vector.qml,"land use, change, urbanization"
Terrain Clusters,vector,terrain_vector,,terrain_clusters,Terrain Vector,terrain,,,{district}_{block}_cluster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/Terrain-Vector-Layer-Style.qml,terrain
Cropping intensity,vector,cropping_intensity_vector,,cropping_intensity_2017-23,Cropping Intensity,crop_intensity,,,{district}_{block}_intensity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Cropping_intensity.qml,"land use, cropping intensity"
Stage of Groundwater extraction,vector,stage_of_groundwater_extraction_vector,,soge_vector,SOGE,soge,,,soge_vector_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/SOGE_style.qml,"hydrology, soge"
Drought frequency,vector,drought_frequency_vector,,drought_2017_2022,Drought,drought,,,{district}_{block}_drought,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Agriculture/Drought_style.qml,"climate, drought frequency"
Annual water balance,vector,change_in_well_depth_vector,,well_depth_net_value,Hydrology,mws_layers,,,deltaG_well_depth_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Climate/MWS-Well-Depth-20_25.qml,"hydrology, water balance, annual"
Terrain,raster,terrain_raster,30,terrain_raster,Terrain Raster,terrain,,,{district}_{block}_terrain_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/terrain_1-12class.qml,terrain
CLART,raster,clart_raster,30,clart,CLART,clart,,,{district}_{block}_clart,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/CLART-Layer-Style.qml,"water structure planning, clart"
Tree canopy cover density,raster,tree_canopy_cover_density_raster,25,tree_health_ccd,,ccd,,,tree_health_ccd_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/ccd_style.qml,"tree cover, canopy density"
Tree cover change,raster,tree_cover_change_raster,25,tree_health_overall,Tree Overall Change Raster,tree_overall_ch,,,overall_change_raster_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml,"tree cover, change"
Tree canopy height,raster,tree_canopy_height_raster,25,tree_health_ch,,canopy_height,,,tree_health_ch_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml,"tree cover, tree height"
Landscape restoration opportunities,raster,wri_restoration_raster,,restoration,Restoration Raster,restoration,,,restoration_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Restoration_style.qml,restoration
Water Balance,vector,water_balance_fortnightly_vector,,filtered_delta_g_fortnight_uid,Hydrology,mws_layers,,,deltaG_fortnight_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Hydrology/water_balance_fortnightly.qml,"hydrology, water balance, fortnightly"
WRI Restoration,vector,,,restoration_vector,Restoration Vector,restoration,,,restoration_{district}_{block}_vector,No style file ,restoration
Tree cover change,vector,tree_cover_change_vector,,tree_health_overall,Tree Overall Change Vector,tree_overall_ch,,,overall_change_vector_{district}_{block},No style file ,"tree cover, change"
